id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,72,1280
1,0,0,0,4,116,5984
2,0,0,0,2,67,4704
3,0,0,0,2,71,5024
4,0,0,0,4,116,5984
5,0,0,0,4,117,7584
6,0,0,0,4,117,7584
7,0,0,0,4,96,7264
8,0,0,0,4,116,5984
9,0,0,0,3,115,7264
10,0,0,0,2,67,4704
11,0,0,0,2,72,1280
12,2,0,1,4,96,34408
13,0,0,0,2,67,4704
14,0,0,0,2,72,1280
15,2,0,1,2,90,34728
16,2,0,0,4,96,18144
17,2,0,1,2,91,13464
18,0,0,1,2,90,9664
19,2,0,1,2,90,33128
20,2,0,1,4,94,17824
21,2,0,1,4,96,32168
22,2,0,1,2,91,12840
23,2,0,1,4,94,25000
24,2,0,0,4,96,17504
25,0,0,0,3,115,7264
26,2,0,1,2,91,25944
27,0,0,0,4,117,7584
28,0,0,0,4,96,7264
29,2,0,0,4,96,17504
30,0,0,0,4,117,7584
31,2,0,1,2,91,21400
32,0,1,0,42,214,62624
33,0,1,0,42,222,61344
34,2,0,1,4,96,16544
35,0,0,0,18,174,56640
36,2,0,1,2,90,16544
37,0,0,0,4,96,7264
38,2,0,1,4,96,25000
39,0,0,0,2,67,4704
40,2,0,0,4,96,18144
41,2,0,1,4,94,34728
42,2,0,1,2,90,23720
43,0,0,0,4,108,33504
44,0,0,0,4,96,7264
45,0,0,0,4,96,7264
46,0,0,0,4,96,7264
47,0,0,0,4,96,7264
48,0,0,0,2,71,5024
49,0,0,0,3,115,7264
50,0,0,0,2,72,1280
51,0,0,0,2,71,5024
52,0,0,0,3,115,7264
53,2,0,1,4,94,34408
54,0,0,0,4,96,7264
55,0,0,0,2,71,5024
56,0,0,0,4,116,5984
