id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,2.09019e+09,8.38785e+09,45360,46080,1
1,2.09019e+09,8.38785e+09,45360,46080,1
2,2.09019e+09,8.38333e+09,45360,46080,1
3,1.65581e+07,4.64099e+09,4704,3520,3
4,2.09019e+09,8.38785e+09,45360,46080,1
5,1.58054e+07,4.64099e+09,7056,2240,3
6,2.09019e+09,8.38785e+09,45360,46080,1
7,1.0537e+07,4.64099e+09,4704,2240,0
8,2.09019e+09,8.38333e+09,45360,46080,1
9,1.12896e+07,4.64099e+09,7056,1600,0
10,2.09019e+09,8.38785e+09,45360,46080,1
11,1.12896e+07,4.64099e+09,7056,1600,0
12,2.09019e+09,8.38785e+09,45360,46080,1
13,1.12896e+07,4.64099e+09,7056,1600,0
14,1.0537e+07,4.64099e+09,4704,2240,0
15,2.09019e+09,8.38785e+09,45360,46080,1
16,2.09019e+09,8.38785e+09,45360,46080,1
17,2.09019e+09,8.38333e+09,45360,46080,1
18,1.12896e+07,2.5508e+09,7056,1600,0
19,1.0537e+07,4.64099e+09,4704,2240,0
20,1.12896e+07,2.5508e+09,7056,1600,0
21,1.58054e+07,4.64099e+09,7056,2240,3
22,2.09019e+09,8.38333e+09,45360,46080,1
23,1.12896e+07,4.64099e+09,7056,1600,0
24,1.12896e+07,2.5508e+09,7056,1600,0
25,2.09019e+09,8.38785e+09,45360,46080,1
26,1.12896e+07,4.64099e+09,7056,1600,0
27,2.09019e+09,8.38333e+09,45360,46080,1
28,2.09019e+09,8.38785e+09,45360,46080,1
29,1.12896e+07,4.64099e+09,7056,1600,0
30,1.12896e+07,2.5508e+09,7056,1600,0
31,1.12896e+07,4.64099e+09,7056,1600,0
32,1.12896e+07,2.5508e+09,7056,1600,0
33,2.09019e+09,8.38785e+09,45360,46080,1
34,1.58054e+07,4.64099e+09,7056,2240,3
35,2.09019e+09,8.38785e+09,45360,46080,1
36,1.0537e+07,4.64099e+09,4704,2240,0
37,1.12896e+07,4.64099e+09,7056,1600,0
38,1.12896e+07,2.5508e+09,7056,1600,0
39,1.12896e+07,2.5508e+09,7056,1600,0
40,1.58054e+07,4.64099e+09,7056,2240,3
41,1.58054e+07,4.64099e+09,7056,2240,3
42,2.09019e+09,8.38785e+09,45360,46080,1
43,2.09019e+09,8.38785e+09,45360,46080,1
44,2.09019e+09,8.38785e+09,45360,46080,1
45,2.09019e+09,8.38785e+09,45360,46080,1
46,1.65581e+07,4.64099e+09,4704,3520,3
47,1.12896e+07,2.5508e+09,7056,1600,0
48,2.09019e+09,8.38785e+09,45360,46080,1
49,1.58054e+07,4.64099e+09,7056,2240,3
50,2.09019e+09,8.38785e+09,45360,46080,1
51,1.65581e+07,4.64099e+09,4704,3520,3
52,2.09019e+09,8.38785e+09,45360,46080,1
53,2.09019e+09,8.38785e+09,45360,46080,1
54,2.09019e+09,8.38785e+09,45360,46080,1
55,1.65581e+07,4.64099e+09,4704,3520,3
56,1.12896e+07,4.64099e+09,7056,1600,0
57,2.09019e+09,8.38333e+09,45360,46080,1
58,2.09019e+09,8.38785e+09,45360,46080,1
59,1.12896e+07,4.64099e+09,7056,1600,0
60,2.09019e+09,8.38333e+09,45360,46080,1
61,2.09019e+09,8.38785e+09,45360,46080,1
62,1.58054e+07,4.64099e+09,7056,2240,3
63,1.12896e+07,4.64099e+09,7056,1600,0
64,1.58054e+07,4.64099e+09,7056,2240,3
65,1.12896e+07,4.64099e+09,7056,1600,0
66,2.09019e+09,8.38785e+09,45360,46080,1
67,2.09019e+09,8.38333e+09,45360,46080,1
